iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.0003860247670672834
1000,-1.0,2.0,9,0.0005877361400052905
1500,-0.91,2.09,11,0.0003646681143436581
2000,-1.0,2.0,9,0.0004646363959182054
2500,-1.0,2.0,10,0.00039400719106197357
3000,-0.88,2.12,8,0.00022870015527587384
3500,-1.0,2.0,10,0.00027464726008474827
4000,-0.89,2.11,9,8.503810386173427e-05
4500,-1.0,2.0,8,1.4810704669798724e-05
5000,-1.0,2.0,9,1.409761580362101e-06
5500,-0.89,2.11,9,6.327591108856723e-07
6000,-1.0,2.0,8,1.000944848783547e-06
6500,-1.0,2.0,9,8.328553349201684e-07
7000,-1.0,2.0,8,1.3526171187550062e-06
7500,-1.0,2.0,8,8.710801466804696e-07
8000,-1.0,2.0,10,1.24365712395047e-07
8500,-1.0,2.0,9,6.371487870637793e-07
9000,-0.91,2.09,11,1.828940185077954e-06
9500,-1.0,2.0,9,1.2150290729096014e-07
10000,-1.0,2.0,9,4.85963653318322e-07
10500,-1.0,2.0,11,1.8667645917957998e-06
11000,-1.0,2.0,8,3.550748886027577e-07
11500,-1.0,2.0,8,6.981537836736607e-08
12000,-1.0,2.0,10,6.826119260949781e-07
12500,-1.0,2.0,12,2.894786632623436e-07
13000,-1.0,2.0,11,3.7399706798169063e-07
13500,-1.0,2.0,9,5.378917080633983e-07
14000,-1.0,2.0,8,3.496817726045265e-06
14500,-1.0,2.0,8,3.1678789014222275e-07
15000,-0.88,2.12,8,1.0700040320443804e-06
15500,-1.0,2.0,9,5.065804771220428e-07
16000,-1.0,2.0,11,2.041060952251428e-06
16500,-1.0,2.0,9,1.9758324469876243e-06
17000,-1.0,2.0,10,6.783002390875481e-07
17500,-1.0,2.0,10,4.322847075854952e-07
18000,-0.88,2.12,8,1.747798933138256e-06
18500,-1.0,2.0,12,2.815598691086052e-06
19000,-1.0,2.0,9,4.741951329378935e-07
19500,-1.0,2.0,8,9.97024017124204e-07
20000,-0.88,2.12,8,3.32664626512269e-07
20500,-1.0,2.0,13,2.8735996693285415e-07
21000,-1.0,2.0,10,3.386812750250101e-07
21500,-1.0,2.0,8,5.840315225213999e-06
22000,-1.0,2.0,8,1.8963957870710146e-07
22500,-0.91,2.09,11,1.029573240884929e-06
23000,-1.0,2.0,8,2.651359864103142e-06
23500,-1.0,2.0,8,2.3011186556232133e-07
24000,-1.0,2.0,8,1.6980871464511438e-07
24500,-1.0,2.0,8,3.7922956153124687e-07
25000,-1.0,2.0,9,1.4845015527953365e-07
25500,-1.0,2.0,10,7.427512969115924e-07
26000,-1.0,2.0,10,4.6679548404426896e-07
26500,-1.0,2.0,9,1.990088378533983e-07
27000,-1.0,2.0,9,3.991983703599544e-06
27500,-1.0,2.0,9,3.801563366323535e-07
28000,-1.0,2.0,10,4.061412823830324e-07
28500,-1.0,2.0,11,4.022710413664754e-07
29000,-0.88,2.12,8,2.6530258878665336e-07
29500,-1.0,2.0,9,2.3925917957967613e-07
30000,-1.0,2.0,8,8.219436153922288e-08
30500,-1.0,2.0,9,1.940892673246708e-07
31000,-1.0,2.0,11,2.794003819417412e-07
31500,-1.0,2.0,11,1.4546859006259183e-07
32000,-1.0,2.0,8,9.168918779778323e-08
32500,-1.0,2.0,10,1.8361288312007673e-07
33000,-1.0,2.0,11,7.700835880086743e-08
33500,-0.89,2.11,9,2.777783834062575e-07
34000,-1.0,2.0,8,1.2707748453522072e-07
34500,-1.0,2.0,9,3.3533191867718415e-07
35000,-0.89,2.11,9,2.411094897070143e-07
35500,-1.0,2.0,8,9.2531976747523e-08
36000,-1.0,2.0,10,4.826887334274943e-07
36500,-1.0,2.0,11,3.2006605010792555e-07
37000,-1.0,2.0,9,9.70163966940163e-08
37500,-1.0,2.0,8,2.3164189144608827e-07
38000,-1.0,2.0,8,1.6236607791597635e-07
38500,-1.0,2.0,10,2.138864090284187e-07
39000,-1.0,2.0,9,7.657132528038346e-08
39500,-1.0,2.0,8,1.7143685226983507e-07
40000,-0.89,2.11,9,2.9032327120148693e-07
40500,-1.0,2.0,8,2.874740516745078e-07
41000,-1.0,2.0,8,2.549908515447896e-07
41500,-1.0,2.0,10,3.676490791804099e-07
42000,-1.0,2.0,9,2.725647334500536e-07
42500,-1.0,2.0,11,6.511029226885512e-08
43000,-1.0,2.0,8,8.40578820771043e-07
43500,-1.0,2.0,10,1.4527704195188562e-07
44000,-1.0,2.0,9,2.765149247352383e-07
44500,-0.9,2.1,10,1.4417371119179734e-07
45000,-0.9,2.1,10,1.8165759740895737e-07
45500,-1.0,2.0,8,2.0621689600375248e-07
46000,-1.0,2.0,10,2.1257970672650117e-07
46500,-1.0,2.0,8,3.1339607176050777e-07
47000,-1.0,2.0,8,6.543227755173575e-07
47500,-1.0,2.0,8,3.0624164537584875e-07
48000,-1.0,2.0,8,3.613584169670503e-07
48500,-0.9,2.1,10,1.2078512554580811e-06
49000,-0.88,2.12,8,8.833343656533543e-08
49500,-1.0,2.0,9,3.131004291390127e-07
50000,-1.0,2.0,9,2.0483355456235586e-07
50500,-1.0,2.0,10,7.449424970218388e-07
51000,-1.0,2.0,9,3.281664362475567e-07
51500,-0.88,2.12,8,3.5824612609758333e-07
52000,-1.0,2.0,8,2.942468597666448e-07
52500,-1.0,2.0,9,7.220483553282975e-07
53000,-1.0,2.0,11,2.8197055712553265e-07
53500,-1.0,2.0,10,5.73731767872232e-07
54000,-1.0,2.0,9,3.3428290180381737e-07
54500,-1.0,2.0,9,3.595648365717352e-07
55000,-1.0,2.0,9,9.33625244670111e-07
55500,-1.0,2.0,9,5.774683131676284e-07
56000,-1.0,2.0,8,3.989882770838449e-07
56500,-1.0,2.0,10,7.566841304651462e-07
57000,-1.0,2.0,9,9.06818584667235e-08
57500,-1.0,2.0,8,1.7970982923998235e-07
58000,-1.0,2.0,8,2.610852902762417e-07
58500,-0.9,2.1,10,1.048384092428023e-06
59000,-0.88,2.12,8,1.0304877378075616e-06
59500,-0.88,2.12,8,5.225082304605166e-07
60000,-1.0,2.0,10,8.370293471671175e-07
60500,-0.91,2.09,11,8.050814130911021e-07
61000,-1.0,2.0,10,5.928535529164947e-07
61500,-1.0,2.0,8,4.3469111687954864e-07
62000,-1.0,2.0,9,8.993336564344645e-07
62500,-1.0,2.0,10,1.3336057236301713e-07
63000,-1.0,2.0,10,5.598671464213112e-07
63500,-1.0,2.0,8,8.696650866113487e-07
64000,-1.0,2.0,12,5.58374608772283e-07
64500,-1.0,2.0,11,1.3060370065431925e-06
65000,-1.0,2.0,8,1.6896481156436494e-06
65500,-1.0,2.0,8,1.0376948011980858e-06
66000,-1.0,2.0,9,1.8664675280888332e-06
66500,-0.88,2.12,8,9.502676903139218e-07
67000,-1.0,2.0,9,1.691498255240731e-06
67500,-1.0,2.0,8,2.9181826448620996e-06
68000,-1.0,2.0,8,2.3154007067205384e-06
68500,-1.0,2.0,10,2.3640009203518275e-06
69000,-1.0,2.0,8,1.3814815247314982e-06
69500,-1.0,2.0,9,1.7785210957299569e-06
70000,-1.0,2.0,12,1.229498366228654e-06
70500,-1.0,2.0,8,2.7358837542124093e-06
71000,-1.0,2.0,8,4.034527592011727e-06
71500,-1.0,2.0,8,7.745455150143243e-06
72000,-1.0,2.0,11,2.1800810827699024e-06
72500,-1.0,2.0,10,1.5461737348232418e-05
73000,-1.0,2.0,8,1.160343708761502e-05
73500,-1.0,2.0,8,1.1265702823948232e-06
74000,-1.0,2.0,12,1.4663085494248662e-05
74500,-1.0,2.0,9,8.884887392923702e-06
75000,-0.88,2.12,8,8.039722160901874e-06
75500,-1.0,2.0,8,2.4183604182326235e-05
76000,-1.0,2.0,9,3.4675197184697026e-06
76500,-0.89,2.11,9,6.7730275077337865e-06
77000,-1.0,2.0,8,6.898789251863491e-06
77500,-1.0,2.0,10,3.7460208659467753e-06
78000,-1.0,2.0,8,1.4368769370776135e-05
78500,-1.0,2.0,9,1.9902697658835677e-06
79000,-1.0,2.0,9,3.3405167414457537e-06
